시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,제주서초등학교 병설유치원,제주특별자치도 제주시 성화로6길 51,제주특별자치도 제주시 용담이동 603-3,33.51148514,126.5096832,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,N,2,13,2022-12-01
초등학교,일도초등학교,제주특별자치도 제주시 삼성로9길 27,제주특별자치도 제주시 일도이동 1038-1,33.50907824,126.5294157,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,13,2022-12-01
유치원,일도초등학교 병설유치원,제주특별자치도 제주시 삼성로9길 27,제주특별자치도 제주시 일도이동 1038-1,33.50907824,126.5294157,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,4,20~24,2022-12-01
초등학교,제주남초등학교,제주특별자치도 제주시 남성로 149,제주특별자치도 제주시 삼도이동 811-1,33.50996313,126.5211755,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,1,11~14,2022-12-01
유치원,제주남초등학교 병설유치원,제주특별자치도 제주시 남성로 149,제주특별자치도 제주시 삼도이동 811-1,33.50996313,126.5211755,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,2,12~16,2022-12-01
초등학교,한천초등학교,제주특별자치도 제주시 남성로11길 22,제주특별자치도 제주시 용담일동 254-1,33.50733353,126.5127972,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,6~24,2022-12-01
유치원,한천초등학교 병설유치원,제주특별자치도 제주시 남성로11길 22,제주특별자치도 제주시 용담일동 254-1,33.50733353,126.5127972,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,6~15,2022-12-01
초등학교,삼성초등학교,제주특별자치도 제주시 서광로29길 35,제주특별자치도 제주시 이도일동 1650-1,33.50346053,126.5248832,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,6,7~16,2022-12-01
유치원,삼성초등학교 병설유치원,제주특별자치도 제주시 서광로29길 35,제주특별자치도 제주시 이도일동 1650-1,33.50346053,126.5248832,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,8~15,2022-12-01
초등학교,제주중앙초등학교,제주특별자치도 제주시 서사로18길 40,제주특별자치도 제주시 삼도일동 503,33.50251195,126.5150136,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,5~13,2022-12-01
유치원,제주중앙초등학교 병설유치원,제주특별자치도 제주시 서사로18길 40,제주특별자치도 제주시 삼도일동 503,33.50251195,126.5150136,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,11~17,2022-12-01
초등학교,도남초등학교,제주특별자치도 제주시 도남로8길 22,제주특별자치도 제주시 도남동 845-1,33.4931687,126.5261625,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,6~35,2022-12-01
유치원,도남초등학교 병설유치원,제주특별자치도 제주시 도남로8길 22,제주특별자치도 제주시 도남동 845-1,33.4931687,126.5261625,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,8~21,2022-12-01
초등학교,종달초등학교,제주특별자치도 제주시 구좌읍 종달로7길 5,제주특별자치도 제주시 구좌읍 종달리 1918,33.49277175,126.8972232,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,5~12,2022-12-01
유치원,종달초등학교 병설유치원,제주특별자치도 제주시 구좌읍 종달로7길 5,제주특별자치도 제주시 구좌읍 종달리 1918,33.49277175,126.8972232,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,4,8~38,2022-12-01
초등학교,구좌중앙초등학교,제주특별자치도 제주시 구좌읍 월정7길 1,제주특별자치도 제주시 구좌읍 월정리 100,33.55208708,126.7981005,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,12~16,2022-12-01
유치원,구좌중앙초등학교 병설유치원,제주특별자치도 제주시 구좌읍 월정7길 1,제주특별자치도 제주시 구좌읍 월정리 100,33.55208708,126.7981005,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,11~30,2022-12-01
초등학교,김녕초등학교,제주특별자치도 제주시 구좌읍 김녕로 117,제주특별자치도 제주시 구좌읍 김녕리 1656,33.55488251,126.7499135,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,5~15,2022-12-01
유치원,김녕초등학교 병설유치원,제주특별자치도 제주시 구좌읍 김녕로 117,제주특별자치도 제주시 구좌읍 김녕리 1656,33.55488251,126.7499135,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,5,8~27,2022-12-01
초등학교,함덕초등학교,제주특별자치도 제주시 조천읍 일주동로 1231,제주특별자치도 제주시 조천읍 함덕리 287-2,33.53868435,126.6716504,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,5,8~27,2022-12-01
유치원,함덕초등학교 병설유치원,제주특별자치도 제주시 조천읍 일주동로 1231,제주특별자치도 제주시 조천읍 함덕리 287-2,33.53868435,126.6716504,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,5,8~27,2022-12-01
초등학교,하귀초등학교,제주특별자치도 제주시 애월읍 하귀로 44,제주특별자치도 제주시 애월읍 하귀2리 1908-2,33.47977265,126.4018893,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,7~12,2022-12-01
유치원,하귀초등학교 병설유치원,제주특별자치도 제주시 애월읍 하귀로 44,제주특별자치도 제주시 애월읍 하귀2리 1908-2,33.47977265,126.4018893,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,5~8,2022-12-01
초등학교,곽금초등학교,제주특별자치도 제주시 애월읍 일주서로 6000,제주특별자치도 제주시 애월읍 곽지리 2050,33.44712742,126.3071662,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,6~10,2022-12-01
초등학교,신창초등학교,제주특별자치도 제주시 한경면 두신로 72,제주특별자치도 제주시 한경면 신창리 422,33.34898229,126.1851933,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,N,2,7~13,2022-12-01
유치원,신창초등학교 병설유치원,제주특별자치도 제주시 한경면 두신로 72,제주특별자치도 제주시 한경면 신창리 422,33.34898229,126.1851933,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,N,2,7~13,2022-12-01
초등학교,아라초등학교,제주특별자치도 제주시 중앙로 518,제주특별자치도 제주시 아라일동 6101,33.47725479,126.5437398,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,5~9,2022-12-01
유치원,아라초등학교 병설유치원,제주특별자치도 제주시 중앙로 518,제주특별자치도 제주시 아라일동 6101,33.47725479,126.5437398,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,6~22,2022-12-01
초등학교,오라초등학교,제주특별자치도 제주시 연사길 48,제주특별자치도 제주시 오라이동 1380,33.48926553,126.5138529,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,5,6~8,2022-12-01
유치원,오라초등학교 병설유치원,제주특별자치도 제주시 연사길 48,제주특별자치도 제주시 오라이동 1380,33.48926553,126.5138529,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,5,7~16,2022-12-01
초등학교,영평초등학교,제주특별자치도 제주시 아봉로 225,제주특별자치도 제주시 영평동 1826,33.47871171,126.5674875,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,33,2022-12-01
