"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000024,아란길 공영주차장,공영,노외,,제주특별자치도 제주시 아라1동 6093-4,54,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000025,연화로 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1519-2,98,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000026,고산동산 공영주차장,공영,노외,,제주특별자치도 제주시 이도이동 1012-10,50,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000027,공항입구 공영주차장,공영,노외,,제주특별자치도 제주시 용담2동 1611-2,210,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000028,광양초 서측 공영주차장,공영,노외,,제주특별자치도 제주시 이도1동 1257-4,45,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000029,성신로 공영주차장,공영,노외,,제주특별자치도 제주시 연동 2322-7,55,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000030,용두암 공영주차장,공영,노외,,제주특별자치도 제주시 용담2동 483,62,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000031,탑동 제1 공영주차장,공영,노외,,제주특별자치도 제주시 삼도이동 1263,66,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000032,탑동 제2 공영주차장,공영,노외,,제주특별자치도 제주시 삼도이동 1257,107,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000033,관덕정 서측 공영주차장,공영,노외,,제주특별자치도 제주시 삼도이동 1024,36,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000034,노형 제1 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 1282-1,64,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000035,노형 제3 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 1043-1,45,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000036,노형 제4 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2580-1,46,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000037,성내 공영주차장,공영,노외,,제주특별자치도 제주시 삼도2동 839,41,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
